,月份,股票代码,股票名称
0,2005-06,68,华控赛格
0,2005-06,623,吉林敖东
0,2005-06,930,中粮科技
0,2005-06,962,东方钽业
0,2005-06,600060,海信视像
0,2005-06,600078,澄星股份
0,2005-06,600171,上海贝岭
0,2005-06,100,TCL科技
0,2005-06,423,东阿阿胶
0,2005-06,520,长航凤凰
0,2005-06,601,韶能股份
0,2005-06,698,沈阳化工
0,2005-06,725,京东方
0,2005-06,875,吉电股份
0,2005-06,895,双汇发展
0,2005-06,1872,招商港口
0,2005-06,600073,上海梅林
0,2005-06,600089,特变电工
0,2005-06,600121,郑州煤电
0,2005-06,600198,大唐电信
0,2005-06,600377,宁沪高速
0,2005-06,600548,深高速
0,2005-06,600602,云赛智联
0,2005-06,600637,东方明珠
0,2005-06,600871,石化油服
0,2005-06,600884,杉杉股份
0,2005-06,600333,长春燃气
0,2005-06,600724,宁波富达
0,2005-06,600205,山东铝业
0,2005-06,600296,兰州铝业
0,2005-06,600231,凌钢股份
0,2005-06,939,凯迪生态
0,2005-06,600894,广日股份
0,2005-06,518,四环生物
0,2005-06,659,珠海中富
0,2005-06,726,鲁泰纺织
0,2005-06,733,振华科技
0,2005-06,806,银河生物
0,2005-06,920,沃顿科技
0,2005-06,959,首钢股份
0,2005-06,968,蓝焰控股
0,2005-06,600057,厦门象屿
0,2005-06,600091,明天科技
0,2005-06,600115,中国东航
0,2005-06,600126,杭钢股份
0,2005-06,600138,中青旅
0,2005-06,600166,福田汽车
0,2005-06,600207,安彩高科
0,2005-06,600215,长春经开
0,2005-06,600408,安泰集团
0,2005-06,600581,八一钢铁
0,2005-06,600621,华鑫股份
0,2005-06,600652,游久游戏
0,2005-06,600654,中安科
0,2005-06,600674,川投能源
0,2005-06,600854,春兰股份
0,2005-06,990018,上港集箱
0,2005-06,780,平庄能源
0,2005-06,16,康佳集团
0,2005-06,429,粤高速
0,2005-06,507,珠海港
0,2005-06,511,烯碳新材
0,2005-06,533,顺钠股份
0,2005-06,543,皖能电力
0,2005-06,571,大洲控股
0,2005-06,573,粤宏远
0,2005-06,666,经纬纺机
0,2005-06,727,冠捷科技
0,2005-06,735,罗牛山
0,2005-06,737,南风化工
0,2005-06,886,海南高速
0,2005-06,916,华北高速
0,2005-06,949,新乡化纤
0,2005-06,600007,中国国贸
0,2005-06,600068,葛洲坝
0,2005-06,600103,青山纸业
0,2005-06,600190,锦州港
0,2005-06,600608,上海科技
0,2005-06,600705,中航产融
0,2005-06,600707,彩虹股份
0,2005-06,600726,华电能源
0,2005-06,600744,华银电力
0,2005-06,600790,轻纺城
0,2005-06,600805,悦达投资
0,2005-06,600866,星湖科技
0,2005-06,600002,齐鲁石化
0,2005-06,406,石油大明
0,2005-06,866,扬子石化
0,2005-06,956,中原油气
0,2005-06,96,广聚能源
0,2005-06,420,吉林化纤
0,2005-06,498,山东路桥
0,2005-06,612,焦作万方
0,2005-06,763,锦州石化
0,2005-06,817,辽河油田
0,2005-06,823,超声电子
0,2005-06,831,五矿稀土
0,2005-06,600074,保千里
0,2005-06,600135,乐凯胶片
0,2005-06,600630,龙头股份
0,2005-06,600638,新黄浦
0,2005-06,29,深房集团
0,2005-06,532,华金资本
0,2005-06,562,宏源证券
0,2005-06,921,海信家电
0,2005-06,600072,中船科技
0,2005-06,600228,返利科技
0,2005-06,600271,航天信息
0,2005-06,600489,中金黄金
0,2005-06,600641,万业企业
0,2005-06,600710,苏美达
0,2005-06,600748,上实发展
0,2005-06,600757,长江传媒
0,2005-06,600761,安徽合力
0,2005-06,600838,上海九百
0,2005-06,1,平安银行
0,2005-06,2,万科
0,2005-06,63,中兴通讯
0,2005-06,69,华侨城
0,2005-06,157,中联重科
0,2005-06,425,徐工机械
0,2005-06,568,泸州老窖
0,2005-06,625,长安汽车
0,2005-06,651,格力电器
0,2005-06,858,五粮液
