,开始日期_BegDt,结束日期_EndDt,成分股代码_CompoStkCd,成分股名称_CompoStkNm
181,2011-01,2016-06,601158,重庆水务
182,2011-01,2016-12,"002399, 002422","海普瑞, 科伦药业"
183,2011-01,2018-12,002385,大北农
184,2011-01,2020-06,600535,天士力
185,2011-01,2021-06,002146,荣盛发展
186,2011-01,2021-12,600703,三安光电
187,2011-07,2012-01,"000536, 600998","华映科技, 九州通"
188,2011-07,2012-07,"002498, 601519","汉缆股份, 大智慧"
189,2011-07,2013-01,"002493, 601718","荣盛石化, 际华集团"
190,2011-07,2013-07,"000559, 002073, 601558","万向钱潮, 软控股份, 华锐风电"
191,2011-07,2014-06,"002069, 600859, 600971, 601717","獐子岛, 王府井, 恒源煤电, 郑煤机"
192,2011-07,2014-12,002106,莱宝高科
193,2011-07,2015-06,"000869, 600267","张裕, 海正药业"
194,2011-07,2015-12,002310,东方园林
195,2011-07,2016-12,601098,中南传媒
196,2011-07,2018-06,601118,海南橡胶
197,2011-07,2018-12,002500,山西证券
198,2011-07,2020-12,601018,宁波港
199,2011-08,2012-01,600827,百联股份
200,2012-01,2012-07,600098,广州发展
201,2012-01,2013-01,601991,大唐发电
202,2012-01,2013-07,"600770, 601216, 601233","综艺股份, 君正集团, 桐昆股份"
203,2012-01,2013-12,002378,章源钨业
204,2012-01,2014-06,"002299, 002431, 600160, 601099","圣农发展, 棕榈股份, 巨化股份, 太平洋"
205,2012-01,2014-12,600259,广晟有色
206,2012-01,2015-06,"002603, 600498","以岭药业, 烽火通信"
207,2012-01,2015-12,002344,海宁皮城
208,2012-01,2016-06,"000581, 000629, 002038","威孚高科, 攀钢钒钛, 双鹭药业"
209,2012-01,2016-12,601992,金隅集团
210,2012-01,2017-06,"600252, 600783, 600873, 601258","中恒集团, 鲁信创投, 梅花集团, 庞大集团"
211,2012-01,2020-12,600372,中航电子
212,2012-07,2013-01,601566,九牧王
213,2012-07,2013-07,600022,山东钢铁
214,2012-07,2014-06,"000046, 000703","泛海控股, 恒逸石化"
215,2012-07,2015-12,002570,贝因美
216,2012-07,2016-06,"002353, 600315","杰瑞股份, 上海家化"
217,2012-07,2016-12,600011,华能国际
218,2012-07,2017-06,601928,凤凰传媒
219,2012-07,2018-06,600827,百联股份
220,2012-07,2020-06,002081,金螳螂
221,2012-07,2021-12,601555,东吴证券
222,2013-01,2013-12,000883,湖北能源
223,2013-01,2014-06,"000596, 600582","古井贡酒, 天地科技"
224,2013-01,2014-12,601238,广汽集团
225,2013-01,2015-12,000970,中科三环
226,2013-01,2016-06,002375,亚厦股份
227,2013-01,2016-12,600027,华电国际
228,2013-01,2018-06,000750,国海证券
229,2013-01,2019-06,600157,永泰能源
230,2013-01,2021-06,600637,东方明珠
231,2013-01,2021-12,"002673, 600340","西部证券, 华夏幸福"
232,2013-07,2013-12,"000027, 000539","深圳能源, 粤电力"
233,2013-07,2014-12,"000656, 002269, 600403, 601139, 601991","金科股份, 美邦服饰, 大有能源, 深圳燃气, 大唐发电"
234,2013-07,2015-06,600436,片仔癀
235,2013-07,2015-12,002051,中工国际
236,2013-07,2016-12,002294,信立泰
237,2013-07,2017-12,"000156, 600060","华数传媒, 海信视像"
238,2013-07,2019-06,002450,康得新
239,2013-12,2015-06,"000536, 600079","华映科技, 人福医药"
240,2013-12,2015-12,"002653, 600597","海思科, 光明乳业"
241,2013-12,2016-06,"000400, 000598, 000831, 601231","许继电气, 兴蓉环境, 五矿稀土, 环旭电子"
242,2013-12,2017-06,"002129, 600648, 603000","中环股份, 外高桥, 人民网"
243,2013-12,2017-12,000793,华闻集团
244,2013-12,2018-12,"600008, 600663","首创环保, 陆家嘴"
245,2013-12,2019-06,000826,启迪环境
246,2013-12,2019-12,"002065, 600688","东华软件, 上海石化"
247,2013-12,2021-12,"002456, 600705","欧菲光, 中航产融"
248,2014-06,2015-06,"002400, 002416, 002429, 600880, 603699","省广股份, 爱施德, 兆驰股份, 博瑞传播, 纽威股份"
249,2014-06,2015-12,"600277, 601929","亿利洁能, 吉视传媒"
250,2014-06,2016-06,"002410, 600633","广联达, 浙数文化"
251,2014-06,2016-12,"000883, 600998, 601179","湖北能源, 九州通, 中国西电"
252,2014-06,2017-06,"000027, 600867","深圳能源, 通化东宝"
253,2014-06,2017-12,000917,电广传媒
254,2014-06,2018-06,"002292, 002465","奥飞娱乐, 海格通信"
255,2014-06,2018-12,002470,金正大
256,2014-06,2019-06,000503,国新健康
257,2014-06,2020-06,"000413, 600023","东旭光电, 浙能电力"
258,2014-12,2016-06,603288,海天味业
259,2014-12,2016-12,"000825, 000898, 600398, 600578","太钢不锈, 鞍钢股份, 海澜之家, 京能电力"
260,2014-12,2017-06,"300015, 300058, 300146","爱尔眼科, 蓝色光标, 汤臣倍健"
261,2014-12,2017-12,300133,华策影视
262,2014-12,2018-06,600485,信威集团
263,2014-12,2018-12,"000559, 300027, 600373","万向钱潮, 华谊兄弟, 中文传媒"
264,2014-12,2019-12,300251,光线传媒
265,2014-12,2020-06,"300017, 300024, 300070","网宿科技, 机器人, 碧水源"
266,2014-12,2020-12,600038,中直股份
267,2014-12,2021-12,"002153, 601727","石基信息, 上海电气"
268,2015-05,2016-12,300003,乐普医疗
269,2015-05,2018-06,000738,航发控制
270,2015-06,2016-06,"000539, 600717, 601969","粤电力, 天津港, 海南矿业"
271,2015-06,2016-12,"000046, 600317, 601106, 601991","泛海控股, 营口港, 中国一重, 大唐发电"
272,2015-06,2017-02,600005,武钢股份
273,2015-06,2017-06,"000712, 300002","锦龙股份, 神州泰岳"
274,2015-06,2017-12,300104,乐视网
275,2015-06,2018-12,601099,太平洋
276,2015-12,2016-06,"600350, 601238","山东高速, 广汽集团"
277,2015-12,2016-12,601016,节能风电
278,2015-12,2017-06,603885,吉祥航空
279,2015-12,2017-12,002195,二三四五
280,2015-12,2018-06,"300315, 600021, 600895, 601608, 601872","掌趣科技, 上海电力, 张江高科, 中信重工, 招商轮船"
281,2015-12,2018-12,"000540, 002739, 600820, 600959, 601718","中天金融, 万达电影, 隧道股份, 江苏有线, 际华集团"
282,2015-12,2020-06,000415,渤海租赁
283,2015-12,2021-06,601198,东兴证券
284,2016-06,2016-12,"600022, 600098","山东钢铁, 广州发展"
285,2016-06,2017-06,"002568, 300085, 600582, 600666","百润股份, 银之杰, 天地科技, 奥瑞德"
286,2016-06,2017-12,"000977, 002152, 002183, 300168, 600037, 600446, 600737","浪潮信息, 广电运通, 怡亚通, 万达信息, 歌华有线, 金证股份, 中粮糖业"
287,2016-06,2018-06,"002424, 600074, 600685, 600871","贵州百灵, 保千里, 中船防务, 石化油服"
288,2016-06,2018-12,600376,首开股份
289,2016-06,2019-06,000839,中信国安
290,2016-06,2019-12,600704,物产中大
291,2016-06,2020-06,600816,安信信托
292,2016-12,2017-06,"002085, 300182, 600654, 600754","万丰奥威, 捷成世纪, 中安科, 锦江酒店"
293,2016-12,2017-12,"000555, 000718, 002049, 002131, 002299, 601127","神州信息, 苏宁环球, 紫光国微, 利欧股份, 圣农发展, 小康股份"
294,2016-12,2018-06,"000008, 002174, 002426","神州高铁, 游族网络, 胜利精密"
295,2016-12,2018-12,002074,国轩高科
296,2016-12,2019-06,"000983, 002797, 601611","山西焦煤, 第一创业, 中国核建"
297,2016-12,2019-12,"002310, 300072","东方园林, 三聚环保"
298,2016-12,2020-12,002466,天齐锂业
299,2016-12,2021-06,"000627, 000671, 600297, 600498","天茂集团, 阳光城, 广汇汽车, 烽火通信"
300,2016-12,2021-12,600482,中国动力
301,2017-02,2019-06,600549,厦门钨业
302,2017-06,2018-06,"002831, 002839, 002841, 601163, 601375, 601966","裕同科技, 张家港行, 视源股份, 三角轮胎, 中原证券, 玲珑轮胎"
303,2017-06,2018-12,600682,南京新百
304,2017-06,2019-06,"000959, 600909","首钢股份, 华安证券"
305,2017-06,2019-12,603858,步长制药
306,2017-06,2020-06,002411,延安必康
307,2017-06,2020-12,"600977, 601992, 601997","中国电影, 金隅集团, 贵阳银行"
308,2017-06,2021-06,"000961, 601117","中南建设, 中国化学"
309,2017-06,2021-12,"002508, 002558, 600233, 600522","老板电器, 巨人网络, 圆通速递, 中天科技"
310,2017-12,2018-12,"000723, 002608","美锦能源, 江苏国信"
311,2017-12,2019-06,"002572, 601991","索菲亚, 大唐发电"
312,2017-12,2019-12,601228,广州港
313,2017-12,2020-06,"000898, 002294","鞍钢股份, 信立泰"
314,2017-12,2020-12,"002468, 600219, 601212, 601898","申通快递, 南山铝业, 白银有色, 中煤能源"
315,2017-12,2021-06,600390,五矿资本
316,2017-12,2021-12,300136,信维通信
317,2018-06,2019-06,"001965, 002085","招商公路, 万丰奥威"
318,2018-06,2019-12,"002625, 002925, 600339","光启技术, 盈趣科技, 中油工程"
319,2018-06,2020-12,"600398, 600516, 600867, 601828, 603260","海澜之家, 方大炭素, 通化东宝, 美凯龙, 合盛硅业"
320,2018-06,2021-06,600487,亨通光电
