,month_details,stock,stock_name,month
348,2005-05,600005,武钢股份,86
349,2005-05,600508,上海能源,86
350,2005-05,600779,水井坊,86
351,2005-05,600881,亚泰集团,86
352,2005-05,000527,美的电器,86
353,2005-05,000825,太钢不锈,86
354,2005-05,000898,鞍钢股份,86
355,2005-05,600037,歌华有线,86
356,2005-05,000021,深科技,86
357,2005-05,000680,山推股份,86
358,2005-05,600183,生益科技,86
359,2005-05,600307,酒钢宏兴,86
360,2005-05,600320,振华重工,86
361,2005-05,600500,中化国际,86
362,2005-05,600812,华北制药,86
363,2005-05,000027,深圳能源,86
364,2005-05,600008,首创环保,86
365,2005-05,600026,中远海能,86
366,2005-05,600428,中远海特,86
367,2005-05,600635,大众公用,86
368,2005-05,600808,马钢股份,86
369,2005-05,600879,航天电子,86
370,2005-05,000031,大悦城,86
371,2005-05,000927,中国铁物,86
372,2005-05,600004,白云机场,86
373,2005-05,600220,江苏阳光,86
374,2005-05,600269,赣粤高速,86
375,2005-05,600675,中华企业,86
376,2005-05,600717,天津港,86
377,2005-05,600631,百联股份(合并前),86
378,2005-05,000900,现代投资,86
379,2005-05,600006,东风汽车,86
380,2005-05,600033,福建高速,86
381,2005-05,600087,南京油运,86
382,2005-05,600210,紫江企业,86
383,2005-05,600350,山东高速,86
384,2005-05,600597,光明乳业,86
385,2005-05,600601,方正科技,86
386,2005-05,600663,陆家嘴,86
387,2005-05,000089,深圳机场,86
388,2005-05,000488,晨鸣纸业,86
389,2005-05,000717,韶钢松山,86
390,2005-05,000932,华菱钢铁,86
391,2005-05,600011,华能国际,86
392,2005-05,600022,山东钢铁,86
393,2005-05,600102,莱钢股份,86
394,2005-05,600236,桂冠电力,86
395,2005-05,600282,南钢股份,86
396,2005-05,600569,安阳钢铁,86
397,2005-05,600643,爱建集团,86
398,2005-05,600688,上海石化,86
399,2005-05,600820,隧道股份,86
400,2005-05,600835,上海机电,86
401,2005-05,600886,国投电力,86
402,2005-05,000559,万向钱潮,86
403,2005-05,000822,山东海化,86
404,2005-05,000917,电广传媒,86
405,2005-05,600270,外运发展,86
406,2005-05,600639,浦东金桥,86
407,2005-05,600874,创业环保,86
408,2005-05,000629,攀钢钒钛,86
409,2005-05,000912,泸天化,86
410,2005-05,600110,诺德股份,86
411,2005-05,600117,西宁特钢,86
412,2005-05,600308,华泰股份,86
413,2005-05,600653,申华控股,86
414,2005-05,600770,综艺股份,86
415,2005-05,600001,邯郸钢铁,86
416,2005-05,600357,承德钒钛,86
417,2005-05,000088,盐田港,86
418,2005-05,000503,国新健康,86
419,2005-05,000539,粤电力,86
420,2005-05,000767,晋控电力,86
421,2005-05,600020,中原高速,86
422,2005-05,600021,上海电力,86
423,2005-05,600098,广州发展,86
424,2005-05,600591,上海航空,86
425,2005-05,600747,大连控股,86
426,2005-05,600780,通宝能源,86
427,2005-05,600863,内蒙华电,86
428,2005-05,600887,伊利股份,86
429,2005-05,000036,华联控股,86
430,2005-05,000410,沈阳机床,86
431,2005-05,000541,佛山照明,86
432,2005-05,000581,威孚高科,86
433,2005-05,000636,风华高科,86
434,2005-05,000828,东莞控股,86
435,2005-05,600012,皖通高速,86
436,2005-05,600718,东软集团,86
437,2005-05,600797,浙大网新,86
438,2005-05,600851,海欣股份,86
439,2005-05,000400,许继电气,86
440,2005-05,000550,江铃汽车,86
441,2005-05,000682,东方电子,86
442,2005-05,000708,中信特钢,86
443,2005-05,000786,北新建材,86
444,2005-05,000970,中科三环,86
445,2005-05,600035,楚天高速,86
446,2005-05,600088,中视传媒,86
447,2005-05,600662,强生控股,86
448,2005-05,600868,梅雁吉祥,86
449,2005-05,601607,上海医药,86
450,2005-05,000066,中国长城,86
451,2005-05,000068,华控赛格,86
452,2005-05,000623,吉林敖东,86
453,2005-05,000930,中粮科技,86
454,2005-05,000962,东方钽业,86
455,2005-05,600060,海信视像,86
456,2005-05,600078,澄星股份,86
457,2005-05,600171,上海贝岭,86
458,2005-05,000100,TCL科技,86
459,2005-05,000423,东阿阿胶,86
460,2005-05,000520,长航凤凰,86
461,2005-05,000601,韶能股份,86
462,2005-05,000698,沈阳化工,86
463,2005-05,000725,京东方,86
464,2005-05,000875,吉电股份,86
465,2005-05,000895,双汇发展,86
466,2005-05,001872,招商港口,86
467,2005-05,600073,上海梅林,86
468,2005-05,600089,特变电工,86
469,2005-05,600121,郑州煤电,86
470,2005-05,600198,大唐电信,86
471,2005-05,600377,宁沪高速,86
472,2005-05,600548,深高速,86
473,2005-05,600602,云赛智联,86
474,2005-05,600637,东方明珠,86
475,2005-05,600871,石化油服,86
476,2005-05,600884,杉杉股份,86
477,2005-05,600333,长春燃气,86
478,2005-05,600724,宁波富达,86
479,2005-05,600205,山东铝业,86
480,2005-05,600296,兰州铝业,86
481,2005-05,600231,凌钢股份,86
482,2005-05,000939,凯迪生态,86
483,2005-05,600894,广日股份,86
484,2005-05,000518,四环生物,86
485,2005-05,000659,珠海中富,86
486,2005-05,000726,鲁泰纺织,86
